,City Name,Latitude,Longitude,Min. Temp,Max. Temp,Cloudiness,Wind Speed,Humidity,Time
80,Dikson,73.51,80.55,-26.86,-26.86,62,6.71,85,1608497826
81,Saint-Joseph,-21.37,55.62,73.99,75.2,20,1.12,78,1608497826
82,Barrow,71.29,-156.79,-18.4,-18.4,1,14.99,75,1608497826
83,Celestún,20.87,-90.4,78.39,78.39,14,8.7,74,1608497826
84,Mafra,-26.11,-49.81,66.99,66.99,100,7.0,84,1608497826
85,Sânmartin,46.27,25.93,30.99,30.99,82,1.99,85,1608497826
86,Mount Isa,-20.73,139.5,75.2,75.2,75,3.36,100,1608497826
87,Torbay,47.67,-52.73,24.8,25.0,20,8.05,85,1608497826
88,Shankargarh,25.18,81.62,52.61,52.61,22,5.01,42,1608497826
89,Saint-Philippe,-21.36,55.77,64.99,75.2,20,1.12,78,1608497826
90,Jamestown,42.1,-79.24,32.0,35.01,90,8.05,98,1608497826
91,Ludgeřovice,49.89,18.24,35.01,37.4,90,9.17,93,1608497826
92,Barcelos,41.54,-8.62,53.01,57.2,75,17.22,93,1608497557
93,Shambu,9.57,37.1,58.8,58.8,78,0.96,53,1608497826
94,Saint Anthony,45.02,-93.22,36.0,37.4,1,6.93,59,1608497826
95,Port Alfred,-33.59,26.89,72.0,72.0,44,1.01,94,1608497826
96,Oodweyne,9.41,45.06,71.01,71.01,19,10.63,50,1608497827
97,Turaif,31.67,38.66,50.0,50.0,0,14.99,87,1608497827
98,Esim,4.87,-2.24,79.83,79.83,46,6.17,80,1608497827
99,Baoning,25.34,110.03,33.8,33.8,0,4.47,86,1608497827
100,Saint Paul Harbor,57.79,-152.41,33.8,33.8,1,14.99,59,1608497678
101,Saskylakh,71.92,114.08,-38.04,-38.04,66,4.23,80,1608497827
102,Fredericton,45.95,-66.67,28.0,30.2,75,4.7,74,1608497580
103,Pevek,69.7,170.31,-6.56,-6.56,73,4.76,90,1608497827
104,Tuktoyaktuk,69.45,-133.04,-41.8,-41.8,20,3.36,72,1608497827
105,Emerald,-23.53,148.17,77.0,77.0,88,9.17,83,1608497745
106,Bambous Virieux,-20.34,57.76,77.0,77.0,40,6.93,83,1608497827
107,Hermanus,-34.42,19.23,70.0,70.0,0,7.0,75,1608497827
108,Chipata,-13.63,32.65,67.1,67.1,68,5.37,89,1608497827
109,Iquitos,-3.75,-73.25,89.6,89.6,75,6.93,62,1608497582
110,Snyder,32.72,-100.92,59.0,59.0,1,8.05,22,1608497827
111,Kaitangata,-46.28,169.85,55.0,55.0,100,18.01,89,1608497827
112,Hofn,64.25,-15.21,35.08,35.08,63,9.22,80,1608497827
113,George Town,5.41,100.34,77.0,78.8,20,3.36,88,1608497827
114,Buraidah,26.33,43.98,59.0,59.0,75,12.75,82,1608497827
115,Basavakalyan,17.87,76.95,57.69,57.69,0,8.48,39,1608497759
116,Puerto Ayora,-0.74,-90.35,75.0,78.8,75,2.24,69,1608497828
117,City of San Pedro,14.35,121.02,75.0,78.01,75,3.36,88,1608497828
118,Naze,28.37,129.48,59.0,59.0,90,14.99,62,1608497828
119,Ibrā’,22.69,58.53,60.6,60.6,61,4.32,77,1608497828
120,San Vicente,-26.62,-54.13,71.26,71.26,100,1.48,85,1608497828
121,Tiksi,71.69,128.87,-15.86,-15.86,100,6.69,90,1608497828
122,Deputatsky,69.3,139.9,-26.64,-26.64,100,3.09,88,1608497828
123,Carlsbad,33.16,-117.35,69.8,80.6,1,9.17,28,1608497828
124,Guánica,17.97,-66.91,80.01,82.0,6,1.01,70,1608497828
125,Waitati,-45.75,170.57,52.0,53.01,100,28.01,88,1608497828
126,Cape Town,-33.93,18.42,66.99,73.4,0,20.8,60,1608497828
127,Khasan,42.43,130.64,21.18,21.18,0,8.93,82,1608497828
128,Berlevåg,70.86,29.09,26.6,28.4,75,9.17,79,1608497828
129,Singkang,2.1,102.8,75.0,75.2,20,1.12,94,1608497828
130,Cugir,45.83,23.37,37.0,37.4,90,5.82,88,1608497828
131,Port Moresby,-9.44,147.18,73.4,73.4,20,8.05,100,1608497787
132,Sabha,27.04,14.43,61.56,61.56,0,9.17,32,1608497828
133,Ginda,30.69,78.49,48.83,48.83,98,5.55,38,1608497828
134,Manga,11.66,-1.07,78.04,78.04,0,7.85,18,1608497828
135,Nikolskoye,59.7,30.79,33.01,34.0,90,8.95,94,1608497828
136,Zhob,31.34,69.45,47.26,47.26,1,1.07,52,1608497828
137,Safaga,26.73,33.94,64.4,64.4,0,9.17,55,1608497828
138,Salta,-24.79,-65.41,78.8,78.8,0,8.05,24,1608497829
139,Podporozh'ye,60.91,34.17,35.53,35.53,100,8.57,96,1608497829
140,Kruisfontein,-34.0,24.73,72.0,72.0,73,1.99,86,1608497829
141,Yerbogachën,61.28,108.01,-24.43,-24.43,0,6.29,84,1608497829
142,Piaçabuçu,-10.41,-36.43,79.3,79.3,93,16.71,76,1608497829
143,Wanning,18.8,110.4,61.21,61.21,100,18.61,71,1608497829
144,Namatanai,-3.67,152.43,81.3,81.3,32,2.51,77,1608497829
145,Dorgoş,46.05,21.83,39.0,41.0,90,3.36,80,1608497829
146,Port-Gentil,-0.72,8.78,80.6,80.6,40,9.17,88,1608497829
147,Mīzan Teferī,6.98,35.58,65.75,65.75,0,2.15,60,1608497829
148,Brigantine,39.41,-74.36,39.99,41.0,90,10.65,86,1608497829
149,Avera,33.19,-82.53,50.0,51.8,90,2.51,81,1608497829
150,Švenčionys,55.15,26.17,30.65,30.65,58,8.46,99,1608497829
151,Bandi̇̄pur,27.93,84.42,41.94,41.94,0,2.21,82,1608497829
152,Bethel,41.37,-73.41,28.0,30.99,90,3.36,92,1608497829
153,Arraial do Cabo,-22.97,-42.03,82.4,86.0,0,12.75,74,1608497564
154,Klaksvík,62.23,-6.59,42.8,42.8,77,5.82,100,1608497829
155,Tocopilla,-22.09,-70.2,70.36,70.36,80,6.53,47,1608497829
156,Cidreira,-30.18,-50.21,76.6,76.6,91,8.05,59,1608497829
157,Port Elizabeth,-33.92,25.57,71.6,71.6,44,9.17,88,1608497829
158,Kimbe,-5.55,150.14,78.55,78.55,37,1.77,85,1608497829
159,Cherskiy,68.75,161.3,-29.36,-29.36,0,1.92,85,1608497829
160,Bredasdorp,-34.53,20.04,68.0,68.0,0,6.93,82,1608497829
161,Abonnema,4.71,6.79,79.36,79.36,0,7.09,81,1608497830
162,Maningrida,-12.07,134.27,80.96,80.96,100,3.58,83,1608497830
163,La Rochelle,46.17,-1.15,51.8,51.8,75,10.29,93,1608497830
164,Miandrivazo,-19.52,45.47,80.71,80.71,96,3.8,75,1608497830
165,Te Anau,-45.42,167.72,49.91,49.91,100,0.47,91,1608497830
166,Kizlyar,43.85,46.72,39.79,39.79,100,5.1,91,1608497830
167,Kidal,18.44,1.41,70.99,70.99,1,13.58,22,1608497830
168,Petropavlovsk-Kamchatskiy,53.05,158.65,3.2,3.2,42,11.18,71,1608497830
169,Mar del Plata,-38.0,-57.56,55.4,57.0,75,10.29,87,1608497830
170,Saldanha,-33.01,17.94,66.2,66.2,0,8.05,77,1608497830
171,Mahébourg,-20.41,57.7,77.0,77.0,40,6.93,83,1608497830
172,Port Hardy,50.7,-127.42,42.8,46.4,75,5.82,93,1608497830
173,Chui,-33.7,-53.46,69.51,69.51,0,14.16,51,1608497830
174,Esperance,-33.87,121.9,57.2,57.2,45,3.36,93,1608497831
175,Kulhudhuffushi,6.62,73.07,82.27,82.27,70,7.58,68,1608497831
176,Merke,42.87,73.18,21.29,21.29,70,3.02,90,1608497831
177,Marawi,8.0,124.29,73.99,73.99,81,5.99,93,1608497831
178,Lavrentiya,65.58,-171.0,-11.88,-11.88,0,11.65,87,1608497831
179,Faanui,-16.48,-151.75,80.6,80.6,33,5.46,69,1608497831
180,Katsuura,35.13,140.3,37.4,39.99,20,8.05,44,1608497831
181,Paamiut,61.99,-49.67,30.22,30.22,100,35.25,89,1608497831
182,Kavaratti,10.57,72.64,80.96,80.96,96,6.02,69,1608497831
183,Salinas,36.68,-121.66,60.8,64.0,1,6.93,41,1608497831
184,Broome,42.25,-75.83,28.99,34.0,90,5.82,86,1608497831
185,Kingisepp,59.37,28.61,33.93,33.93,100,7.78,93,1608497831
186,Sur,22.57,59.53,69.89,69.89,11,8.03,70,1608497831
187,Batagay,67.63,134.63,-42.09,-42.09,96,1.03,79,1608497831
188,Kapaa,22.08,-159.32,75.99,78.8,40,18.34,78,1608497831
189,Kapoeta,4.77,33.59,84.27,84.27,44,8.93,35,1608497831
190,Nome,64.5,-165.41,-18.4,-18.4,1,2.53,68,1608497831
191,Digoin,46.48,3.98,39.2,43.0,96,3.36,100,1608497831
192,Souillac,-20.52,57.52,77.0,77.0,40,6.93,83,1608497831
193,Soyo,-6.13,12.37,76.82,76.82,100,4.47,85,1608497831
194,Botevgrad,42.9,23.78,35.6,39.0,90,8.05,93,1608497831
195,Cabo San Lucas,22.89,-109.91,75.2,78.01,75,4.7,57,1608497832
196,Laguna,38.42,-121.42,46.4,55.99,20,3.76,93,1608497832
197,Xinzhi,36.5,111.7,29.1,29.1,0,0.87,77,1608497832
198,Shimoda,34.67,138.95,41.9,41.9,17,9.48,69,1608497832
199,Pisco,-13.7,-76.22,73.0,75.2,0,17.22,64,1608497832
200,Beyneu,45.32,55.2,22.87,22.87,100,14.2,95,1608497832
201,Vardø,70.37,31.11,30.2,30.2,75,17.22,100,1608497832
202,Khatanga,71.97,102.5,-29.29,-29.29,98,4.61,85,1608497832
203,Panama City,8.99,-79.52,87.8,89.6,20,14.99,55,1608497584
204,Lagoa,39.05,-27.98,64.54,64.54,100,26.49,87,1608497832
205,Erenhot,43.65,111.98,4.12,4.12,0,8.3,90,1608497832
206,Snåase,64.25,12.38,39.2,39.2,0,8.05,92,1608497832
207,Saint-François,46.42,3.91,39.2,43.0,88,3.36,100,1608497832
208,Mahajanga,-15.72,46.32,77.0,77.0,40,4.7,83,1608497832
209,Goderich,43.75,-81.72,37.4,37.4,99,18.34,69,1608497832
210,Iqaluit,63.75,-68.51,-2.2,-2.2,20,3.36,70,1608497705
211,Rupert,42.62,-113.68,46.4,46.4,90,16.11,52,1608497832
212,Sursk,53.08,45.68,12.0,12.0,0,4.5,39,1608497832
213,Christchurch,-43.53,172.63,54.0,57.0,100,9.17,93,1608497628
214,Viedma,-40.81,-63.0,78.01,78.01,0,1.99,34,1608497832
215,Rosetta,31.4,30.42,60.8,60.8,0,4.7,77,1608497832
216,Porto Walter,-8.27,-72.74,88.54,88.54,92,5.21,57,1608497833
217,Thanh Hoa,19.8,105.77,56.84,56.84,100,10.69,46,1608497833
218,Igurubi,-4.0,33.7,70.14,70.14,54,4.88,75,1608497833
219,Waipawa,-41.41,175.52,57.0,60.01,99,13.87,93,1608497833
220,Tianmen,30.65,113.16,37.22,37.22,0,0.98,71,1608497833
221,Bereda,43.27,-7.54,48.99,52.0,100,15.01,100,1608497833
222,Beloha,-25.17,45.05,75.47,75.47,1,9.57,85,1608497833
223,Bagdarin,54.43,113.6,6.13,6.13,2,3.24,89,1608497833
224,Mala Vyska,48.64,31.64,33.87,33.87,100,4.92,97,1608497833
225,Miraflores,19.22,-98.81,73.0,80.6,40,3.36,25,1608497833
226,Salalah,17.02,54.09,77.0,77.0,0,9.17,38,1608497833
227,Kalmunai,7.42,81.82,76.84,76.84,100,11.86,88,1608497833
228,Fallon,39.47,-118.78,46.4,51.01,20,1.36,42,1608497833
229,Vila Velha,-20.33,-40.29,82.4,84.99,20,23.04,78,1608497701
230,Kiryat Gat,31.61,34.76,55.0,57.99,0,1.12,87,1608497703
231,Bari,41.12,16.85,51.01,53.01,40,3.36,93,1608497833
232,Barreirinha,-2.79,-57.07,89.38,89.38,92,2.75,56,1608497833
233,Hirara,24.8,125.28,65.28,65.28,100,28.01,83,1608497833
234,Wamba,8.93,8.6,76.48,76.48,0,4.23,25,1608497833
235,Coquimbo,-29.95,-71.34,62.6,62.6,20,13.87,67,1608497834
236,Karasjok,69.47,25.51,30.2,30.2,90,19.46,92,1608497834
237,Asekeyevo,53.57,52.8,-4.94,-4.94,0,5.08,87,1608497834
238,Sioux Lookout,50.1,-91.92,8.6,8.6,90,8.05,71,1608497834
239,Saint-Augustin,51.23,-58.65,21.09,21.09,97,3.89,96,1608497834
240,San Quintín,30.48,-115.95,68.32,68.32,0,4.85,28,1608497834
241,Hereford,52.06,-2.71,39.0,41.0,42,7.29,95,1608497834
242,Talnakh,69.49,88.4,-32.8,-32.8,95,4.47,73,1608497834
243,Mossamedes,-15.2,12.15,68.25,68.25,100,4.83,80,1608497834
244,Coahuayana Viejo,18.73,-103.68,84.2,84.2,40,9.17,39,1608497834
245,Florianópolis,-27.61,-48.5,80.6,80.6,40,8.05,69,1608497834
246,Susteren,51.07,5.85,44.6,46.0,47,10.29,81,1608497834
247,Nemuro,43.32,145.57,24.98,24.98,7,17.72,86,1608497834
248,Constitución,-35.33,-72.42,64.76,64.76,0,19.66,55,1608497834
249,Izhma,65.01,53.91,1.69,1.69,0,3.62,89,1608497834
250,Morondava,-20.28,44.28,80.8,80.8,0,4.16,75,1608497834
251,Nantucket,41.28,-70.1,46.99,48.2,90,3.36,81,1608497830
252,Lipari,38.47,14.95,55.99,57.0,99,1.99,94,1608497834
253,Narón,43.52,-8.15,57.99,59.0,99,24.0,73,1608497834
254,Mitsamiouli,-11.38,43.28,82.17,82.17,0,1.92,71,1608497834
255,Guilin,25.28,110.29,33.8,33.8,0,4.47,86,1608497834
256,Narsaq,60.92,-46.05,24.8,24.8,75,11.41,58,1608497835
257,Tasiilaq,65.61,-37.64,23.0,23.0,100,1.12,57,1608497835
258,Santa Cruz do Capibaribe,-7.96,-36.2,78.26,78.26,12,13.49,60,1608497575
259,Matamoros,25.53,-103.25,68.0,69.8,75,8.1,18,1608497835
260,Ulladulla,-35.35,150.47,59.0,66.2,90,4.7,93,1608497835
261,Mugur-Aksy,50.35,90.5,2.16,2.16,59,7.25,77,1608497835
262,Mount Gambier,-37.83,140.77,51.8,51.8,90,8.05,87,1608497835
263,Alice Springs,-23.7,133.88,73.4,73.4,90,1.12,94,1608497835
264,Buenos Aires,-34.61,-58.38,72.0,75.99,40,8.05,33,1608497835
265,Borogontsy,62.67,131.17,-44.45,-44.45,27,3.4,77,1608497835
266,São João da Barra,-21.64,-41.05,84.2,84.2,0,23.04,70,1608497594
267,Ambon City,-3.7,128.18,82.04,82.04,97,5.66,75,1608497835
268,Kamenka,51.32,42.77,7.84,7.84,35,7.14,95,1608497835
269,Vallenar,-28.57,-70.76,82.99,82.99,0,8.97,25,1608497835
270,Sitka,57.05,-135.33,37.4,37.4,75,8.05,86,1608497835
271,Dimitrovgrad,54.21,49.62,1.4,1.4,0,6.71,84,1608497835
272,Moyale,3.52,39.06,70.41,70.41,3,10.13,68,1608497835
273,Castro,-24.79,-50.01,71.92,71.92,100,7.87,88,1608497835
274,Pombal,-6.77,-37.8,94.17,94.17,19,18.34,27,1608497836
275,Coyhaique,-45.58,-72.07,62.6,62.6,75,10.29,42,1608497836
276,Samarai,-10.62,150.67,81.91,81.91,68,1.43,75,1608497836
277,Medvedevo,56.63,47.8,8.6,8.6,75,11.18,84,1608497599
278,Aklavik,68.22,-135.01,-43.6,-43.6,20,4.7,64,1608497836
279,Vao,-22.67,167.48,75.61,75.61,1,11.7,78,1608497836
280,Roald,62.58,6.13,44.6,46.0,40,11.41,75,1608497836
281,Mastic Beach,40.77,-72.85,33.8,34.0,90,3.36,86,1608497836
282,Port Macquarie,-31.43,152.92,69.8,69.8,75,5.82,100,1608497836
283,Vanimo,-2.67,141.3,78.4,78.4,99,4.59,84,1608497836
284,Nong’an,44.38,125.17,12.2,12.2,0,11.18,61,1608497836
285,Portland,45.52,-122.68,46.99,50.0,90,4.7,87,1608497802
286,Roebourne,-20.78,117.13,87.4,87.4,51,7.25,47,1608497836
287,Turukhansk,65.82,87.98,-15.9,-15.9,100,12.57,88,1608497836
288,Acapulco de Juárez,16.86,-99.89,84.2,84.2,90,4.7,74,1608497631
289,Dunedin,-45.87,170.5,52.0,53.01,100,5.99,86,1608497836
290,Ulaanbaatar,47.91,106.88,-18.4,-18.4,0,2.24,68,1608497836
291,Gävle,60.67,17.14,43.0,43.0,100,4.0,92,1608497836
292,Nanortalik,60.14,-45.24,26.01,26.01,100,12.5,94,1608497836
293,Hasaki,35.73,140.83,21.2,30.2,20,6.93,54,1608497836
294,Oranjestad,12.52,-70.03,84.2,84.2,20,18.34,70,1608497836
295,Cradock,-32.16,25.62,69.76,69.76,41,4.05,77,1608497837
296,Comodoro Rivadavia,-45.87,-67.5,75.2,75.2,20,19.46,33,1608497812
297,Helong,42.54,129.0,12.52,12.52,0,6.38,84,1608497837
298,Kawalu,-7.38,108.21,71.6,71.6,89,0.31,92,1608497837
299,Espinosa,-14.93,-42.82,75.06,75.06,100,2.71,81,1608497837
300,Shache,38.42,77.24,15.08,15.08,19,0.98,95,1608497837
301,Dalnegorsk,44.56,135.57,3.15,3.15,30,6.38,87,1608497837
302,Severobaykal'sk,55.65,109.32,16.43,16.43,100,6.06,89,1608497589
303,Taoudenni,22.68,-3.98,62.65,62.65,0,10.6,35,1608497837
304,Biak,-0.91,122.88,78.91,78.91,100,1.43,74,1608497837
305,Cap Malheureux,-19.98,57.61,77.0,77.0,0,5.01,82,1608497837
306,Ngozi,-2.91,29.83,57.54,57.54,94,2.66,98,1608497837
307,Ambilobe,-13.2,49.05,75.78,75.78,96,2.17,91,1608497837
308,Khovd,48.01,91.64,3.58,3.58,100,2.24,77,1608497837
309,Teya,60.38,92.63,-8.54,-8.54,95,3.96,85,1608497837
310,Hinton,53.4,-117.59,39.2,39.2,0,5.82,38,1608497837
311,Yushu,44.8,126.53,6.98,6.98,1,12.82,93,1608497837
312,Illela,13.73,5.3,76.39,76.39,66,9.24,18,1608497837
313,Ardabil,38.25,48.29,29.37,29.37,0,2.57,88,1608497838
314,Rincon,32.3,-81.24,55.99,60.8,90,4.7,77,1608497838
315,Diego de Almagro,-26.37,-70.05,81.01,81.01,2,12.62,16,1608497838
316,São Filipe,14.9,-24.5,73.83,73.83,100,11.12,69,1608497838
317,Kumul,42.8,93.45,16.12,16.12,0,2.28,89,1608497838
318,Nipawin,53.37,-104.0,6.8,6.8,90,10.29,92,1608497838
319,Blackwater,-23.58,148.88,76.89,76.89,74,11.48,71,1608497838
320,Ancud,-41.87,-73.82,48.99,57.2,90,4.7,71,1608497838
321,Kavieng,-2.57,150.8,83.44,83.44,13,2.98,70,1608497838
322,Mizdah,31.45,12.98,54.36,54.36,100,2.21,46,1608497838
323,Pangnirtung,66.15,-65.71,14.0,14.0,90,23.04,56,1608497838
324,Arandis,-22.42,14.97,63.0,63.0,99,7.0,92,1608497838
325,Tazovsky,67.47,78.7,-32.15,-32.15,45,9.62,84,1608497838
326,Elbistan,38.21,37.2,33.69,33.69,4,0.89,83,1608497838
327,Kenora,49.82,-94.43,12.0,12.2,75,4.7,78,1608497838
328,Ponta do Sol,32.67,-17.1,55.0,62.6,20,8.05,77,1608497838
329,Dingle,11.0,122.67,76.46,76.46,100,8.43,89,1608497838
330,Gamba,-2.65,10.0,76.82,76.82,99,8.23,92,1608497839
331,Yulara,-25.24,130.99,69.8,69.8,75,9.17,83,1608497839
332,Lavras da Mangabeira,-6.75,-38.96,87.44,87.44,3,2.1,29,1608497839
333,Sulangan,11.14,123.72,81.79,81.79,100,14.54,79,1608497839
334,Huilong,31.81,121.66,42.01,42.01,0,6.11,77,1608497839
335,Savalou,7.93,1.98,89.65,89.65,43,7.72,37,1608497839
336,Iwaki,37.05,140.88,27.0,28.0,0,8.14,74,1608497659
337,Mocuba,-16.84,36.99,75.04,75.04,95,3.44,94,1608497839
338,Assiut,27.18,31.18,55.4,55.4,0,11.41,82,1608497834
339,Río Gallegos,-51.62,-69.22,71.6,71.6,75,29.97,24,1608497839
340,Flinders,-34.58,150.86,68.0,69.01,100,1.01,92,1608497839
341,Kedrovyy,56.17,91.82,19.4,19.4,100,11.18,85,1608497839
342,Lüderitz,-26.65,15.16,66.2,66.2,66,8.05,82,1608497839
343,Korla,41.76,86.15,16.48,16.48,0,2.28,92,1608497839
344,Santa Maria,-29.68,-53.81,78.8,78.8,0,8.05,47,1608497839
345,Tabou,4.42,-7.35,79.54,79.54,88,4.65,81,1608497839
346,Gevrai,19.27,75.75,57.13,57.13,0,5.48,36,1608497839
347,Orange Cove,36.62,-119.31,42.8,50.0,1,3.06,93,1608497839
348,Erzin,36.96,36.2,44.6,51.8,40,4.7,100,1608497839
349,Wanaka,-44.7,169.15,55.0,55.0,100,1.01,79,1608497839
350,Boyolangu,-8.12,111.89,74.3,74.3,95,2.86,83,1608497786
351,Taormina,37.85,15.29,50.0,57.0,100,1.99,94,1608497839
352,El Alto,-4.27,-81.21,82.4,82.4,0,14.99,58,1608497840
353,Alihe,50.57,123.72,3.18,3.18,0,4.36,90,1608497840
354,Tlaltenango,19.17,-98.33,80.6,80.6,40,5.82,78,1608497840
355,Clyde River,70.47,-68.59,-0.4,-0.4,90,17.22,84,1608497840
356,Olinda,-8.01,-34.86,80.6,80.6,40,6.93,61,1608497840
357,Razdolinsk,58.42,94.67,-5.58,-5.58,81,2.86,90,1608497840
358,Araouane,18.9,-3.53,63.59,63.59,3,9.8,28,1608497840
359,Yamachiche,46.27,-72.83,26.01,30.2,100,6.93,100,1608497840
360,Jumla,29.27,82.18,42.21,42.21,3,5.21,39,1608497840
361,Thaton,16.92,97.37,69.58,69.58,5,4.41,76,1608497840
362,Ilulissat,69.22,-51.1,12.2,12.2,20,17.22,47,1608497840
